név;osztály;csoport;nem;hajszíne;heti zsebpénz;kedvenc tárgy;bukások száma;átlag;testvérek száma;szülhely;szüldátum;szülidő;lakcím;anyja szül. dátuma;apja szül. dátuma;állat1;állat2
Nyiri Nikolett;9.A;rendszergazda;l;barna;8000;rajz;0;3,76;2;Zalaegerszeg;2007.05.13;19:47:42;8994 Zalaszentgyörgy, Kossuth Lajos út 19.;1964.04.08;1975.04.26;vadászgörény;hal
Preininger Júlia;9.A;rendszergazda;l;barna;10000;informatika;0;3,18;2;Nagykanizsa;2008.07.11;17:49:21;8900 Zalaegerszeg, Göcseji Pataki F. u. 1 3/15.;1983.12.22;1974.12.11;patkány;teknős
Püsök Péter Dórián;9.A;szoftverfejlesztő;f;szőke;4000;magyar;0;2,91;1;Zalaegerszeg;2007.07.07;12:19:06;8992 Bagod, Zala út 3.;1976.10.30;1966.03.15;;
Soós Lilla;9.A;rendszergazda;l;szőke;9000;matematika;0;2,46;0;Zalaegerszeg;2006.09.27;4:55:55;8893 Szentliszló, Béke u. 7.;1979.08.22;1967.05.10;kacsa;kígyó
Süle Péter;9.A;rendszergazda;f;kék;4500;fizika;3;1;4;Zalaegerszeg;2007.08.27;9:24:32;8900 Zalaegerszeg, Teskándi út 28.;1991.01.22;1967.09.07;patkány;macska
Szimeiszter Dániel;9.A;szoftverfejlesztő;f;barna;8000;történelem;0;3,51;1;Zalaegerszeg;2008.06.03;14:45:28;8900 Zalaegerszeg, Mártírok útja 17. III.;1991.02.02;1979.03.29;ló;hörcsög
Tonka Ákos;9.A;szoftverfejlesztő;f;fekete;3500;matematika;1;1;1;Marosvásárhely;2008.02.17;16:08:36;8900 Zalaegerszeg, Göcseji Pataki Ferenc u. 27.;1970.06.24;1959.01.04;patkány;
Zsigmond Lolita;9.A;szoftverfejlesztő;l;barna;5000;informatika;0;4,09;3;Zalaegerszeg;2007.08.03;9:34:41;8900 Zalaegerszeg, Alsóerdei u. 5/B.;1980.01.29;1965.08.13;patkány;kutya
Andor Kinga;9.B;számvitel-gazdálkodás;l;barna;9000;rajz;0;4,2;0;Zalaegerszeg;2006.11.01;11:02:08;8999 Zalalövő, Irsapuszta út 10.;1974.11.18;1967.09.29;vadászgörény;vadászgörény
Benkő Anita Katalin;9.B;pénzügy;l;vörös;7500;rajz;0;2,57;1;Zalaegerszeg;2006.09.07;16:43:09;8981 Gellénháza, Varga G.utca 10.;1977.07.06;1986.10.27;;
Béres Márton;9.B;pénzügy;f;kopasz;3000;német;1;1;2;Zalaegerszeg;2006.12.22;17:16:56;8741 Zalaapáti, Jókai M. u. 119/E;1985.10.21;1985.04.13;kacsa;hal
Bertalan Vanessa;9.B;rendszergazda;l;fekete;3000;rajz;0;3,13;1;Zalaegerszeg;2007.04.11;15:34:46;8900 Zalaegerszeg, Rét u. 1/A.;1984.03.01;1973.08.09;vadászgörény;teknős
Bita Mátyás;9.B;számvitel-gazdálkodás;f;szőke;3500;magyar;0;4,05;0;Zalaegerszeg;2007.04.24;11:04:32;8900 Zalaegerszeg, Erdész utca 74. I/5.;1972.08.26;1988.04.17;kígyó;teknős
Bujtor Benő Zénó;9.B;számvitel-gazdálkodás;f;szőke;10000;biológia;4;1;2;Zalaegerszeg;2008.07.11;9:26:40;8935 Misefa, Fő u. 41. ;1980.06.26;1983.11.29;hörcsög;macska
Büki Bertalan;9.B;számvitel-gazdálkodás;f;kopasz;4000;informatika;0;2,33;1;Zalaegerszeg;2007.05.08;21:12:56;8992 Hagyárosbörönd, Kossuth u.2.;1990.05.20;1975.12.04;hal;kígyó
Czeili Bálint;9.B;szoftverfejlesztő;f;kopasz;3000;fizika;2;1;1;Zalaegerszeg;2007.07.19;17:38:10;8931 Kemendollár, Dózsa Gy.utca 33.;1967.03.23;1956.09.27;;
Dobos Vanessza Renáta;9.B;számvitel-gazdálkodás;l;szőke;10000;biológia;0;4,84;4;Zalaegerszeg;2008.07.13;19:48:04;8994 Kávás, Kossuth L. utca 14.;1966.01.07;1954.05.26;;
Domján Bianka;9.B;számvitel-gazdálkodás;l;fekete;4000;biológia;0;2,24;1;Zalaegerszeg;2007.10.04;16:55:11;8900 Zalaegerszeg, Batthyány u. 10/B.;1965.03.26;1960.01.19;kutya;ló
Farkas Benjamin;9.B;rendszergazda;f;vörös;8000;rajz;0;2,49;1;Zalaegerszeg;2007.03.31;14:57:45;8900 Zalaegerszeg, Budai völgy 36;1990.08.29;1973.12.10;tyúk;
Farkas Dorina;9.B;pénzügy;l;kopasz;4000;informatika;1;1;1;Zalaegerszeg;2007.05.26;12:34:35;8996 Zalacséb, Fenyő u. 19.;1979.04.02;1956.10.06;kacsa;vadászgörény
Fombhor Vivien;9.B;szoftverfejlesztő;l;kék;9500;földrajz;0;3,64;1;Zalaegerszeg;2008.07.26;10:30:02;8319 Lesenceistvánd, Kossuth L. utca 84. ;1967.07.13;1983.04.04;ló;
Fülöp Anikó;9.B;szoftverfejlesztő;l;szőke;7500;biológia;0;4,09;1;Zalaegerszeg;2006.12.19;0:20:19;8900 Zalaegerszeg, Madách u. 20.;1973.08.02;1974.12.04;kígyó;
Gellén Dominik;9.B;pénzügy;f;kopasz;4000;biológia;3;1;1;Nagykanizsa;2007.01.21;16:14:46;8900 Zalaegerszeg, Batthyány L.u. 11. I/6.;1964.09.06;1986.02.15;ló;hörcsög
Gyenese Márk;9.B;rendszergazda;f;kék;5500;fizika;0;3,35;4;Zalaegerszeg;2007.05.17;6:54:42;8900 Zalaegerszeg, Akácfa utca 12.;1987.07.30;1981.08.30;tyúk;macska
Győrffy Gergely;9.B;rendszergazda;f;fekete;5000;magyar;3;1;0;Zalaegerszeg;2008.07.20;20:42:26;8900 Zalaegerszeg, Jegenyés út 29.;1969.05.12;1981.09.17;ló;
Halász Réka;9.B;számvitel-gazdálkodás;l;barna;6500;matematika;0;2,19;0;Zalaegerszeg;2008.04.15;7:30:47;8900 Zalaegerszeg, Csácsi u. 66.;1977.09.02;1967.10.13;ló;vadászgörény
Hegyi Barbara;9.B;számvitel-gazdálkodás;l;kopasz;3500;rajz;0;2,01;0;Körmend;2008.03.06;5:52:00;8900 Zalaegerszeg, Borostyán sor 22/B 4. ;1988.07.14;1978.10.27;tyúk;
Horváth Adrienn;9.B;számvitel-gazdálkodás;l;kopasz;7000;biológia;0;2,51;0;Keszthely;2007.07.25;14:22:11;8900 Zalaegerszeg, Nyíres utca 8.;1970.08.20;1953.08.30;ló;hal
Horváth Benita;9.B;számvitel-gazdálkodás;l;vörös;3000;fizika;0;2,74;0;Zalaegerszeg;2007.05.03;15:47:47;8991 Hottó, Fő út 40/a;1990.10.15;1962.02.27;macska;kutya
Horváth Éva;9.B;pénzügy;l;szőke;10000;történelem;0;3,19;0;Zalaegerszeg;2007.12.09;18:26:49;8983 Babosdöbréte, Séning F. út 17.;1967.12.24;1980.01.25;ló;kacsa
Horváth Fruzsina;9.B;pénzügy;l;kék;8000;német;2;1;2;Zalaegerszeg;2008.02.12;8:15:05;8799 Pakod, Fő utca 34/A.;1968.09.09;1988.07.06;ló;teknős
Kása Bianka;9.B;pénzügy;l;fekete;9500;matematika;0;2,03;0;Keszthely;2007.12.02;15:45:54;8911 Nagykutas, Gyöp u. 44. ;1964.06.11;1983.12.27;patkány;kígyó
Kereszturi Réka;9.B;pénzügy;l;fekete;7500;matematika;0;2,49;3;Szombathely;2007.02.16;7:20:42;8998 Ozmánbük, Deák u. 1.;1987.01.31;1962.06.10;patkány;patkány
Kulcsár László;9.B;számvitel-gazdálkodás;f;kopasz;4500;rajz;2;1;4;Zalaegerszeg;2007.09.28;11:33:09;8921 Zalaszentiván, Deák u. 12.;1984.07.18;1968.05.01;tyúk;ló
Lepsényi Tamás István;9.B;pénzügy;f;szőke;8000;magyar;1;1;1;Zalaegerszeg;2006.09.07;7:24:49;8999 Zalalövő, Csány L.u. 34. ;1990.08.01;1977.06.21;macska;tyúk
Magyar Petra;9.B;szoftverfejlesztő;l;fekete;7500;angol;0;4,45;4;Zalaegerszeg;2008.02.10;23:12:00;8945 Bak, Ady Endre út 18.;1978.03.01;1955.02.13;hal;kutya
Márton Alexandra Judit;9.B;számvitel-gazdálkodás;l;vörös;6000;német;0;2,15;1;Zalaegerszeg;2007.04.30;4:43:53;8900 Zalaegerszeg, Kikelet u. 6. B. 2.;1965.08.20;1983.06.02;hörcsög;patkány
Mészáros Olivér;9.B;számvitel-gazdálkodás;f;fekete;7000;magyar;0;2,37;0;Zalaegerszeg;2008.06.17;9:51:56;8935 Nagykapornak, Táncsics M.u. 15.;1980.05.02;1971.08.15;patkány;tyúk
Németh Ágnes;9.B;rendszergazda;l;barna;7000;magyar;0;3,37;1;Zalaegerszeg;2007.04.10;12:54:19;8900 Zalaegerszeg, Kabók Lajos utca 6.;1987.03.05;1962.08.21;hörcsög;kutya
Németh Cintia;9.B;pénzügy;l;fekete;10000;német;0;4,45;2;Zalaegerszeg;2007.11.24;20:51:21;8900 Zalaegerszeg, Berzsenyi út 11. 5/35.;1976.05.24;1989.01.23;hörcsög;patkány
Németh Enikő;9.B;rendszergazda;l;barna;9500;magyar;0;4,77;2;Zalaegerszeg;2007.06.14;21:45:44;8918 Csonkahegyhát, Kossuth u. 55.;1972.10.03;1953.02.21;vadászgörény;hal
Pongrácz Márk;9.B;rendszergazda;f;vörös;8500;ének;0;4,06;1;Zalaegerszeg;2007.09.07;21:07:49;8900 Zalaegerszeg, Bíró M.u. 26. 2/10/A.;1977.07.18;1987.10.31;patkány;
Székedi Gréta;9.B;szoftverfejlesztő;l;fekete;5000;ének;2;1;0;Zalaegerszeg;2008.03.24;19:59:43;8900 Zalaegerszeg, Munkácsy u. 8.  2/4.;1965.01.09;1989.01.28;kacsa;macska
Takács Fanni;9.B;számvitel-gazdálkodás;l;kopasz;4000;földrajz;0;4,25;4;Zalaegerszeg;2007.09.20;3:40:55;8900 Zalaegerszeg, Holub J. utca 10.;1982.12.09;1972.05.26;tyúk;tyúk
Tóth Alexandra;9.B;szoftverfejlesztő;l;fekete;9500;fizika;0;3,82;3;Zalaegerszeg;2007.02.14;14:17:10;8926 Kisbucsa, Béke u. 23.;1989.10.06;1957.12.26;vadászgörény;
Varga Bianka Gvendolin;9.B;pénzügy;l;vörös;8000;német;0;4,01;1;Zalaegerszeg;2008.02.05;1:02:38;8900 Zalaegerszeg, Egry József utca 4/C;1980.07.12;1968.09.29;;
Vörös Viktória;9.B;szoftverfejlesztő;l;szőke;9000;angol;0;3,05;2;Zalaegerszeg;2007.08.24;11:43:30;8900 Zalaegerszeg, József A.u. 1.;1969.09.30;1974.05.11;kacsa;
Bakon Zsófia;9.C;pénzügy;l;kopasz;7000;ének;0;3,67;1;Zalaegerszeg;2007.10.09;4:03:45;8945 Bak, Kossuth L. u. 149;1991.01.25;1985.11.18;ló;macska
Billege Bence;9.C;pénzügy;f;szőke;8500;rajz;0;3,35;4;Zalaegerszeg;2007.07.05;10:10:00;9812 Telekes, Rákóczi F. utca 9.;1971.08.14;1967.01.30;kutya;kutya
Bognár Mirkó;9.C;pénzügy;f;vörös;5500;történelem;0;2,5;2;Zalaegerszeg;2007.06.20;11:45:29;8991 Hottó, Kossuth u. 5/A.;1970.01.09;1983.06.01;vadászgörény;teknős
Bonnyai Tünde;9.C;pénzügy;l;szőke;8000;biológia;0;4,96;2;Zalaegerszeg;2007.02.04;20:30:01;8996 Zalacséb, Kossuth L.utca 68.;1976.06.26;1988.10.17;macska;vadászgörény
Budai Gergő;9.C;rendszergazda;f;kopasz;10000;rajz;0;4,48;3;Keszthely;2007.01.24;4:19:20;8917  Milejszeg, Petőfi utca 58.;1976.04.24;1961.03.14;;
Csécs Cintia;9.C;szoftverfejlesztő;l;vörös;6000;rajz;0;3,86;2;Zalaegerszeg;2006.12.12;9:27:30;8900 Zalaegerszeg, Várberki u. 23.;1985.06.16;1970.10.15;patkány;kacsa
Dömők Máté;9.C;számvitel-gazdálkodás;f;vörös;9500;rajz;0;4,9;2;Zalaegerszeg;2008.07.05;22:29:15;8997 Zalaháshágy, Petőfi Sándor  utca 94.;1988.04.05;1955.03.13;kutya;teknős
Erdei Júlia;9.C;pénzügy;l;szőke;4000;magyar;3;1;1;Zalaegerszeg;2007.02.06;19:46:31;8992 Zalaboldogfa, Petőfi S. u. 5. ;1963.05.20;1960.01.28;macska;teknős
Ferencz Evelin;9.C;pénzügy;l;kopasz;8500;földrajz;1;1;2;Beregújfalu;2006.11.09;0:24:03;8960 Lenti, Gyöngyvirág utca 16. ;1967.12.15;1966.06.10;kígyó;
Fojtek Szilvia;9.C;számvitel-gazdálkodás;l;vörös;5500;magyar;0;4,27;0;Zalaegerszeg;2006.10.03;17:02:00;8900 Zalaegerszeg, Bíró M. u. 24/A.;1986.01.26;1953.09.11;kígyó;
Furján Márk;9.C;rendszergazda;f;barna;8000;német;0;4,54;2;Zalaegerszeg;2006.10.13;16:20:47;8790 Zalaszentgrót, Kisfaludy utca 39.;1965.04.01;1963.02.03;;
Fülöp Alexandra;9.C;számvitel-gazdálkodás;l;fekete;9000;informatika;0;2,99;1;Zalaegerszeg;2008.02.26;4:46:37;8878 Lovászi, Kútfej út 113/2.;1980.12.22;1986.04.18;tyúk;
Gerencsér Kristóf;9.C;pénzügy;f;szőke;3000;fizika;0;4,18;0;Zalaegerszeg;2006.09.18;6:17:29;8900 Zalaegerszeg, Telekalja u. 33.;1977.10.01;1985.01.20;kutya;kutya
Gombos Petra;9.C;számvitel-gazdálkodás;l;kék;7000;magyar;0;3,93;4;Zalaegerszeg;2007.09.01;16:33:51;9824 Olaszfa, Széchenyi u. 1.;1973.04.23;1980.06.16;tyúk;
Haszilló Gergely;9.C;rendszergazda;f;vörös;5000;biológia;4;1;2;Zalaegerszeg;2008.01.23;8:15:01;8900 Zalaegerszeg, Kinizsi u. 103./ I/4. ;1971.05.15;1971.08.30;kígyó;ló
Hóbor Krisztián;9.C;rendszergazda;f;vörös;7500;ének;0;4,28;3;Zalaegerszeg;2008.06.26;12:16:08;8984 Petrikeresztúr, Kossuth L. u. 72;1975.05.24;1982.11.28;ló;kacsa
Horváth Alíz;9.C;szoftverfejlesztő;l;fekete;4000;informatika;0;3,9;3;Szombathely;2006.11.13;13:56:46;8960 Lenti, Gyöngyvirág utca 16.;1968.10.23;1974.11.23;kígyó;vadászgörény
Kámán Noémi;9.C;számvitel-gazdálkodás;l;vörös;7000;magyar;0;4,54;1;Zalaegerszeg;2007.04.15;7:49:19;9900 Körmend, Nefelejcs út 11.;1980.10.07;1986.08.31;kígyó;ló
Kocsi Dóra;9.C;számvitel-gazdálkodás;l;szőke;7500;ének;0;4,89;2;Zalaegerszeg;2008.06.03;13:36:23;8921 Zalaszentlőrinc, Dózsa Gy u. 74.;1967.06.13;1969.05.12;kutya;vadászgörény
Kocsi Martin;9.C;rendszergazda;f;szőke;9000;fizika;3;1;4;Zalaegerszeg;2008.01.13;17:47:52;8996 Zalacséb, Béke utca 15.;1980.07.29;1961.05.13;macska;
Kovács Réka;9.C;pénzügy;l;szőke;7500;ének;1;1;1;Zalaegerszeg;2007.07.26;19:40:34;8900 Zalaegerszeg, Jegenyés u. 11.;1990.10.04;1982.11.03;kacsa;hörcsög
Könyvásó Péter;9.C;számvitel-gazdálkodás;f;lila;5000;történelem;2;1;1;Zalaegerszeg;2007.04.29;4:22:38;8900 Zalaegerszeg, Ifjúság u. 10/2.;1978.05.18;1956.03.27;;
László Máté;9.C;szoftverfejlesztő;f;fekete;6000;rajz;0;3,22;3;Zalaegerszeg;2008.03.16;15:04:43;8984 Gombosszeg, Petőfi S. utca 13.;1983.01.23;1963.02.24;macska;ló
Leposa Eszter;9.C;pénzügy;l;kopasz;5500;informatika;0;4,75;1;Zalaegerszeg;2008.02.20;13:40:12;8900 Zalaegerszeg, Landorhegyi út 40.;1963.07.29;1973.09.21;patkány;kígyó
Mózer Ádám;9.C;pénzügy;f;barna;7500;angol;3;1;2;Zalaegerszeg;2008.04.30;3:09:02;8900 Zalaegerszeg, Telekalja utca 11. ;1975.08.26;1961.10.31;teknős;macska
Nagy Alexandra;9.C;számvitel-gazdálkodás;l;fekete;4500;informatika;0;2,84;4;Zalaegerszeg;2006.11.17;13:17:11;8900 Zalaegerszeg, Virágszer u. 3.;1963.01.25;1983.06.01;kacsa;ló
Németh Gábor;9.C;szoftverfejlesztő;f;kopasz;6500;német;0;2,83;1;Zalaegerszeg;2007.02.12;7:08:23;8999 Zalalövő, Széchenyi utca 6.;1967.03.05;1980.02.27;kígyó;patkány
Papp Fanni Angelika;9.C;pénzügy;l;fekete;7000;történelem;0;3,37;2;Miskolc;2007.06.29;18:21:27;8900 Zalaegerszeg, Szellőháti utca 8.;1967.02.05;1970.10.16;ló;patkány
Patyi Norbert;9.C;pénzügy;f;fekete;7500;német;0;2,64;1;Zalaegerszeg;2008.02.08;4:42:08;8943 Bocfölde, Ady u. 26.;1973.04.22;1980.03.25;macska;kutya
Pék Krisztián;9.C;pénzügy;f;lila;7000;fizika;0;2,07;1;Zalaegerszeg;2008.01.02;11:18:14;8951 Gutorfölde, Jókai M. u. 40;1981.10.29;1971.03.07;hörcsög;
Rezneki Rebeka;9.C;szoftverfejlesztő;l;barna;6000;földrajz;0;4,32;1;Zalaegerszeg;2007.09.20;11:23:11;8900 Zalaegerszeg, Mikes u. 6/C;1977.08.17;1976.09.14;kacsa;hörcsög
Salamon Dorina;9.C;számvitel-gazdálkodás;l;barna;7000;angol;0;2,91;1;Zalaegerszeg;2007.06.21;9:58:18;8913 Egervár, Széchenyi u. 73/D;1967.03.22;1975.11.06;;
Soós Márk;9.C;szoftverfejlesztő;f;vörös;8000;matematika;0;3,84;1;Zalaegerszeg;2007.09.05;6:40:56;8900 Zalaegerszeg, Szent István utca 7. ;1975.05.03;1959.01.16;vadászgörény;
Szeredi Hajnalka;9.C;pénzügy;l;vörös;9500;angol;0;4,46;2;Zalaegerszeg;2008.01.15;18:41:08;8877 Tornyisztmiklós,Kossuth u.124.;1965.09.07;1969.04.27;teknős;patkány
Tóth Blanka;9.C;szoftverfejlesztő;l;barna;5500;fizika;0;3,83;1;Zalaegerszeg;2006.10.11;4:07:32;8900 Zalaegerszeg, Vizslaparki út 23. X/77.;1983.03.18;1965.05.11;;
Tóth Noémi;9.C;számvitel-gazdálkodás;l;kopasz;7000;német;0;2,73;1;Zalaegerszeg;2006.11.08;16:21:43;8913 Egervár, Rét utca 14.;1979.01.01;1973.12.27;macska;patkány
Tóth Piroska;9.C;számvitel-gazdálkodás;l;szőke;3500;német;3;1;1;Zalaegerszeg;2007.02.16;14:26:20;8900 Zalaegerszeg, Egry J.utca 2/b.;1980.06.02;1981.07.23;tyúk;vadászgörény
Varga Ádám;9.C;pénzügy;f;barna;9000;ének;3;1;0;Zalaegerszeg;2007.02.13;8:34:02;8900 Zalaegerszeg, Vizslaparki út 44/A.;1967.04.30;1961.04.04;kutya;
Vörös Veronika;9.C;számvitel-gazdálkodás;l;vörös;10000;matematika;3;1;0;Szombathely;2006.10.15;4:26:17;8936 Zalaszentmihály, Kossuth u. 64.;1980.06.27;1965.09.19;;
Balogh Beatrix;9.D;pénzügy;l;barna;9000;történelem;1;1;2;Zalaegerszeg;2007.05.04;14:50:21;8762 Szentpéterúr, Bem J u. 34.;1985.08.08;1952.12.22;kacsa;
Czira Dániel;9.D;pénzügy;f;vörös;4000;ének;2;1;1;Nagykanizsa;2007.05.10;15:40:31;8983 Babosdöbréte, Kossuth L. út 32.;1986.05.06;1965.04.10;teknős;kutya
Domján Ádám;9.D;pénzügy;f;vörös;8500;ének;0;4,13;2;Körmend;2007.03.18;4:53:11;8991 Böde, Petőfi u.1. ;1984.04.12;1988.08.06;;
Fehér Gréta;9.D;pénzügy;l;fekete;8500;biológia;0;3,15;0;Zalaegerszeg;2008.02.11;10:09:04;8981 Gellénháza, Széchenyi I. utca 49.;1974.04.25;1966.06.20;teknős;kacsa
Frigy Balázs;9.D;rendszergazda;f;szőke;5000;ének;0;4,16;0;Zalaegerszeg;2008.01.28;15:11:10;8900 Zalaegerszeg, Hatházi u. 1/A-.;1986.03.14;1967.04.24;teknős;vadászgörény
Horváth Bianka;9.D;rendszergazda;l;lila;4000;ének;0;4,32;0;Zalaegerszeg;2007.05.22;1:14:25;8999 Zalalövő, Széchenyi út 51.;1989.06.25;1983.02.01;kacsa;
Illés Gergő;9.D;rendszergazda;f;barna;5500;földrajz;0;3,21;0;Nagykanizsa;2008.05.19;7:48:03;8771 Hahót, Kossuth tér 6.;1964.02.05;1976.05.12;hal;vadászgörény
Jagicza Márton;9.D;számvitel-gazdálkodás;f;fekete;4000;történelem;0;2,34;2;Zalaegerszeg;2007.04.05;21:43:09;8997 Zalaháshágy, Petőfi Sándor utca 139.;1974.04.30;1983.07.07;kígyó;teknős
Jándli Mercédesz;9.D;pénzügy;l;szőke;5000;biológia;0;3,18;2;Zalaegerszeg;2008.08.27;4:47:20;8900 Zalaegerszeg, Alsójánkahegyi út 26.;1986.07.25;1988.06.23;hörcsög;patkány
Jandó Balázs;9.D;számvitel-gazdálkodás;f;barna;7000;rajz;0;4,58;0;Budapest;2007.06.09;9:47:09;8929 Pölöske, Dózsa Gy u. 21.;1982.10.22;1979.02.22;vadászgörény;
Jáni Eszter;9.D;szoftverfejlesztő;l;kopasz;10000;fizika;0;4,89;1;Zalaegerszeg;2008.01.29;13:50:17;8798 Zalabér, Petőfi S. u. 25.;1964.08.09;1986.06.10;kígyó;
Kalugyer Veronika;9.D;rendszergazda;l;barna;3000;ének;0;3,74;3;Körmend;2007.10.20;10:30:05;8900 Zalaegerszeg, Landorhegyi út 32.;1967.07.15;1955.11.14;macska;kígyó
Király Gertrud Ilona;9.D;számvitel-gazdálkodás;l;barna;9000;magyar;0;2,05;0;Zalaegerszeg;2007.06.23;18:12:28;8900 Zalaegerszeg, Balatoni u. 44.;1979.08.18;1971.06.15;kígyó;kacsa
Kóródi Dóra;9.D;pénzügy;l;vörös;9000;angol;0;2,75;0;Zalaegerszeg;2008.03.18;7:45:19;8936 Zalaszentmihály, Széchenyi u. 1.;1968.08.18;1954.07.16;teknős;tyúk
Kósa László;9.D;szoftverfejlesztő;f;fekete;8500;ének;0;3,01;3;Zalaegerszeg;2007.12.08;8:31:23;8915 Nemesrádó, Petőfi köz 6. ;1972.12.26;1982.06.16;vadászgörény;hal
Kurta Arnold;9.D;rendszergazda;f;barna;5500;történelem;2;1;1;Zalaegerszeg;2006.10.05;9:50:08;8900 Zalaegerszeg, Szent István u. 2/A..;1969.06.07;1974.05.25;;
Mészáros Márk;9.D;pénzügy;f;szőke;7500;német;0;4,95;2;Zalaegerszeg;2006.09.14;16:12:10;8900 Zalaegerszeg, Széchenyi tér 7/A. 4/8.;1972.12.20;1971.05.06;kacsa;kutya
Meszes Dóra;9.D;rendszergazda;l;barna;10000;földrajz;0;4,91;1;Zalaegerszeg;2008.01.09;8:36:11;8900 Zalaegerszeg, Landorhegyi u. 34.;1982.12.16;1988.08.17;kígyó;
Németh Máté;9.D;pénzügy;f;vörös;3500;rajz;0;2,48;2;Zalaegerszeg;2008.08.29;7:58:58;8360 Keszthely, Lackovics utca 1.;1972.02.01;1960.07.24;ló;
Pass Tamás;9.D;számvitel-gazdálkodás;f;barna;7000;informatika;0;3,39;4;Sopron;2006.09.04;23:21:43;9932 Viszák, Fő u. 29.;1968.01.18;1982.06.02;kígyó;kacsa
Rónyai Fanni;9.D;szoftverfejlesztő;l;fekete;8000;földrajz;0;4,53;0;Zalaegerszeg;2007.06.16;20:05:41;8936 Zalaszentmihály, Deák F.u.11.;1966.09.17;1952.09.21;;
Rózsás Bence;9.D;rendszergazda;f;kék;8000;történelem;0;3,82;2;Zalaegerszeg;2007.04.23;10:31:42;8912 Kispáli, Kossuth L. u.52.;1969.01.08;1963.02.17;kígyó;kígyó
Rózsás Júlia;9.D;szoftverfejlesztő;l;szőke;6500;történelem;0;3,95;1;Zalaegerszeg;2007.08.12;12:09:29;8761 Pacsa, Deák Ferenc utca 7/F.;1987.05.26;1975.01.17;macska;
Sifter Tamás;9.D;rendszergazda;f;barna;3000;magyar;0;3,64;2;Zalaegerszeg;2006.10.17;5:15:01;8992 Bagod, Zöldmező u. 1.;1980.12.08;1965.04.10;tyúk;kutya
Szabó Anna;9.D;szoftverfejlesztő;l;fekete;7500;földrajz;0;2,06;0;Zalaegerszeg;2006.10.29;20:48:37;8994 Zalaszentgyörgy, Kossuth u. 17.;1962.08.27;1980.03.02;ló;hal
Szabó Bianka;9.D;pénzügy;l;szőke;8500;földrajz;2;1;1;Nagykanizsa;2007.10.24;2:15:15;8960 Lenti, Szövetkezet u. 4.;1991.09.28;1983.06.08;;
Szabó Csaba;9.D;pénzügy;f;vörös;8000;földrajz;0;4,28;1;Zalaegerszeg;2008.08.20;21:59:14;8943 Bocfölde, Berek utca 25.;1991.05.21;1974.03.15;macska;ló
Szentes Richárd;9.D;szoftverfejlesztő;f;vörös;4000;történelem;0;2,56;3;Zalaegerszeg;2008.06.21;13:21:22;8985 Becsvölgye, Petőfi  út 1/A;1971.09.17;1972.01.11;kacsa;tyúk
Tóth Máté;9.D;rendszergazda;f;barna;7000;magyar;0;3,88;3;Zalaegerszeg;2007.03.21;18:09:42;8943 Bocfölde, Ady E. u. 56.;1980.08.18;1954.07.22;hörcsög;kacsa
Törőcsik Bence;9.D;számvitel-gazdálkodás;f;vörös;3500;német;0;3,62;0;Zalaegerszeg;2007.07.29;16:38:32;8900 Zalaegerszeg, Landorhegyi u. 26.;1964.06.25;1976.09.06;hal;tyúk
